
#refazer em casa

CRIM	INDUS	CHAS	NOX	RM	AGE	PTRATIO	MEDV
0.17505	5.96	0	0.499	5	30.2	19.2	24.2
0.02763	2.95	0	0.428	6	21.8	18.3	30.8
0.03359	2.95	0	0.428	7	15.8	18.3	34.9
0.12744	6.91	0	0.448	6	2.9	17.9	26.6
0.1415	6.91	0	0.448	6	6.6	17.9	25.3
0.15936	6.91	0	0.448	6	6.5	17.9	24.7
0.12269	6.91	0	0.448	6	40.0	17.9	21.2
0.17142	6.91	0	0.448	5	33.8	17.9	19.3
0.18836	6.91	0	0.448	5	33.3	17.9	20.0
0.22927	6.91	0	0.448	6	85.5	17.9	16.6
0.25387	6.91	0	0.448	5	95.3	17.9	14.4
0.21977	6.91	0	0.448	5	62.0	17.9	19.4
0.08873	5.64	0	0.439	5	45.7	16.8	19.7
0.04337	5.64	0	0.439	6	63.0	16.8	20.5
0.0536	5.64	0	0.439	6	21.1	16.8	25.0
0.04981	5.64	0	0.439	5	21.4	16.8	23.4
0.0136	4.0	0	0.41	5	47.6	21.1	18.9
0.01311	1.22	0	0.403	7	21.9	17.9	35.4
0.02055	0.74	0	0.41	6	35.7	17.3	24.7
0.01432	1.32	0	0.411	6	40.5	15.1	31.6
0.15445	5.13	0	0.453	6	29.2	19.7	23.3
0.10328	5.13	0	0.453	5	47.2	19.7	19.6
0.14932	5.13	0	0.453	5	66.2	19.7	18.7
0.17171	5.13	0	0.453	5	93.4	19.7	16.0
0.11027	5.13	0	0.453	6	67.8	19.7	22.2
0.1265	5.13	0	0.453	6	43.4	19.7	25.0
0.01951	1.38	0	0.4161	7	59.5	18.6	33.0
0.03584	3.37	0	0.398	6	17.8	16.1	23.5
0.04379	3.37	0	0.398	5	31.1	16.1	19.4
0.05789	6.07	0	0.409	5	21.4	18.9	22.0
0.13554	6.07	0	0.409	5	36.8	18.9	17.4
0.12816	6.07	0	0.409	5	33.0	18.9	20.9
0.08826	10.81	0	0.413	6	6.6	19.2	24.2
0.15876	10.81	0	0.413	5	17.5	19.2	21.7
0.09164	10.81	0	0.413	6	7.8	19.2	22.8
0.19539	10.81	0	0.413	6	6.2	19.2	23.4
0.07896	12.83	0	0.437	6	6.0	18.7	24.1
0.09512	12.83	0	0.437	6	45.0	18.7	21.4
0.10153	12.83	0	0.437	6	74.5	18.7	20.0
0.08707	12.83	0	0.437	6	45.8	18.7	20.8
0.05646	12.83	0	0.437	6	53.7	18.7	21.2
0.08387	12.83	0	0.437	5	36.6	18.7	20.3
0.04113	4.86	0	0.426	6	33.5	19.0	28.0
0.04462	4.86	0	0.426	6	70.4	19.0	23.9
0.03659	4.86	0	0.426	6	32.2	19.0	24.8
0.03551	4.86	0	0.426	6	46.7	19.0	22.9
0.05059	4.49	0	0.449	6	48.0	18.5	23.9
0.05735	4.49	0	0.449	6	56.1	18.5	26.6
0.05188	4.49	0	0.449	6	45.1	18.5	22.5
0.07151	4.49	0	0.449	6	56.8	18.5	22.2
0.0566	3.41	0	0.489	7	86.3	17.8	23.6
0.05302	3.41	0	0.489	7	63.1	17.8	28.7
0.04684	3.41	0	0.489	6	66.1	17.8	22.6
0.03932	3.41	0	0.489	6	73.9	17.8	22.0
0.04203	15.04	0	0.464	6	53.6	18.2	22.9
0.02875	15.04	0	0.464	6	28.9	18.2	25.0
0.04294	15.04	0	0.464	6	77.3	18.2	20.6
0.12204	2.89	0	0.445	6	57.8	18.0	28.4
0.11504	2.89	0	0.445	6	69.6	18.0	21.4
0.12083	2.89	0	0.445	8	76.0	18.0	38.7
0.08187	2.89	0	0.445	7	36.9	18.0	43.8
0.0686	2.89	0	0.445	7	62.5	18.0	33.2
0.14866	8.56	0	0.52	6	79.9	20.9	27.5
0.11432	8.56	0	0.52	6	71.3	20.9	26.5
0.22876	8.56	0	0.52	6	85.4	20.9	18.6
0.21161	8.56	0	0.52	6	87.4	20.9	19.3
0.1396	8.56	0	0.52	6	90.0	20.9	20.1
0.13262	8.56	0	0.52	5	96.7	20.9	19.5
0.1712	8.56	0	0.52	5	91.9	20.9	19.5
0.13117	8.56	0	0.52	6	85.2	20.9	20.4
0.12802	8.56	0	0.52	6	97.1	20.9	19.8
0.26363	8.56	0	0.52	6	91.2	20.9	19.4
0.10793	8.56	0	0.52	6	54.4	20.9	21.7
0.10084	10.01	0	0.547	6	81.6	17.8	22.8
0.12329	10.01	0	0.547	5	92.9	17.8	18.8
0.22212	10.01	0	0.547	6	95.4	17.8	18.7
0.14231	10.01	0	0.547	6	84.2	17.8	18.5
0.17134	10.01	0	0.547	5	88.2	17.8	18.3
0.13158	10.01	0	0.547	6	72.5	17.8	21.2
0.15098	10.01	0	0.547	6	82.6	17.8	19.2
0.13058	10.01	0	0.547	5	73.1	17.8	20.4
0.14476	10.01	0	0.547	5	65.2	17.8	19.3
0.06899	25.65	0	0.581	5	69.7	19.1	22.0
0.07165	25.65	0	0.581	6	84.1	19.1	20.3
0.09299	25.65	0	0.581	5	92.9	19.1	20.5
0.15038	25.65	0	0.581	5	97.0	19.1	17.3
0.09849	25.65	0	0.581	5	95.8	19.1	18.8
0.16902	25.65	0	0.581	5	88.4	19.1	21.4
0.38735	25.65	0	0.581	5	95.6	19.1	15.7
0.25915	21.89	0	0.624	5	96.0	21.2	16.2
0.32543	21.89	0	0.624	6	98.8	21.2	18.0
0.88125	21.89	0	0.624	5	94.7	21.2	14.3
0.34006	21.89	0	0.624	6	98.9	21.2	19.2
1.19294	21.89	0	0.624	6	97.7	21.2	19.6
0.59005	21.89	0	0.624	6	97.9	21.2	23.0
0.32982	21.89	0	0.624	5	95.4	21.2	18.4
0.97617	21.89	0	0.624	5	98.4	21.2	15.6
0.55778	21.89	0	0.624	6	98.2	21.2	18.1
0.32264	21.89	0	0.624	5	93.5	21.2	17.4
0.35233	21.89	0	0.624	6	98.4	21.2	17.1
0.2498	21.89	0	0.624	5	98.2	21.2	13.3
0.54452	21.89	0	0.624	6	97.9	21.2	17.8
0.2909	21.89	0	0.624	6	93.6	21.2	14.0
1.62864	21.89	0	0.624	5	100.0	21.2	14.4
3.32105	19.58	1	0.871	5	100.0	14.7	13.4
4.0974	19.58	0	0.871	5	100.0	14.7	15.6
2.77974	19.58	0	0.871	4	97.8	14.7	11.8
2.37934	19.58	0	0.871	6	100.0	14.7	13.8
2.15505	19.58	0	0.871	5	100.0	14.7	15.6
2.36862	19.58	0	0.871	4	95.7	14.7	14.6
2.33099	19.58	0	0.871	5	93.8	14.7	17.8
2.73397	19.58	0	0.871	5	94.9	14.7	15.4
1.6566	19.58	0	0.871	6	97.3	14.7	21.5
1.49632	19.58	0	0.871	5	100.0	14.7	19.6
1.12658	19.58	1	0.871	5	88.0	14.7	15.3
2.14918	19.58	0	0.871	5	98.5	14.7	19.4
1.41385	19.58	1	0.871	6	96.0	14.7	17.0
3.53501	19.58	1	0.871	6	82.6	14.7	15.6
2.44668	19.58	0	0.871	5	94.0	14.7	13.1
1.22358	19.58	0	0.605	6	97.4	14.7	41.3
1.34284	19.58	0	0.605	6	100.0	14.7	24.3
1.42502	19.58	0	0.871	6	100.0	14.7	23.3
1.27346	19.58	1	0.605	6	92.6	14.7	27.0
2.24236	19.58	0	0.605	5	91.8	14.7	22.7
2.924	19.58	0	0.605	6	93.0	14.7	25.0
1.80028	19.58	0	0.605	5	79.2	14.7	23.8
2.3004	19.58	0	0.605	6	96.1	14.7	23.8
2.44953	19.58	0	0.605	6	95.2	14.7	22.3
1.20742	19.58	0	0.605	5	94.6	14.7	17.4
2.3139	19.58	0	0.605	5	97.3	14.7	19.1
0.13914	4.05	0	0.51	5	88.5	16.6	23.1
0.09178	4.05	0	0.51	6	84.1	16.6	23.6
0.08447	4.05	0	0.51	5	68.7	16.6	22.6
0.06664	4.05	0	0.51	6	33.1	16.6	29.4
0.07022	4.05	0	0.51	6	47.2	16.6	23.2
0.05425	4.05	0	0.51	6	73.4	16.6	24.6
0.06642	4.05	0	0.51	6	74.4	16.6	29.9
0.0578	2.46	0	0.488	6	58.4	17.8	37.2
0.06588	2.46	0	0.488	7	83.3	17.8	39.8
0.06888	2.46	0	0.488	6	62.2	17.8	36.2
0.09103	2.46	0	0.488	7	92.2	17.8	37.9
0.10008	2.46	0	0.488	6	95.6	17.8	32.5
0.08308	2.46	0	0.488	5	89.8	17.8	26.4
0.06047	2.46	0	0.488	6	68.8	17.8	29.6
0.07875	3.44	0	0.437	6	41.1	15.2	32.0
0.12579	3.44	0	0.437	6	29.1	15.2	29.8
0.0837	3.44	0	0.437	7	38.9	15.2	34.9
0.09068	3.44	0	0.437	6	21.5	15.2	33.0
0.06911	3.44	0	0.437	6	30.8	15.2	30.5
0.08664	3.44	0	0.437	7	26.3	15.2	36.4
0.02187	2.93	0	0.401	6	9.9	15.6	31.1
0.01439	2.93	0	0.401	6	18.8	15.6	29.1
0.04011	1.52	0	0.404	7	34.1	12.6	33.3
0.04666	1.52	0	0.404	7	36.6	12.6	30.3
0.03768	1.52	0	0.404	7	38.3	12.6	34.6
0.0315	1.47	0	0.403	6	15.3	17.0	34.9
0.01778	1.47	0	0.403	7	13.9	17.0	32.9
0.03445	2.03	0	0.415	6	38.4	14.7	24.1
0.02177	2.03	0	0.415	7	15.7	14.7	42.3
0.13642	10.59	0	0.489	5	22.3	18.6	22.6
0.22969	10.59	0	0.489	6	52.5	18.6	24.4
0.25199	10.59	0	0.489	5	72.7	18.6	22.5
0.13587	10.59	1	0.489	6	59.1	18.6	24.4
0.43571	10.59	1	0.489	5	100.0	18.6	20.0
0.17446	10.59	1	0.489	5	92.1	18.6	21.7
0.37578	10.59	1	0.489	5	88.6	18.6	19.3
0.21719	10.59	1	0.489	5	53.8	18.6	22.4
0.14052	10.59	0	0.489	6	32.3	18.6	28.1
0.28955	10.59	0	0.489	5	9.8	18.6	23.7
0.19802	10.59	0	0.489	6	42.4	18.6	25.0
0.0456	13.89	1	0.55	5	56.0	16.4	23.3
0.07013	13.89	0	0.55	6	85.1	16.4	28.7
0.11069	13.89	1	0.55	5	93.8	16.4	21.5
0.11425	13.89	1	0.55	6	92.4	16.4	23.0
0.35809	6.2	1	0.507	6	88.5	17.4	26.7
0.40771	6.2	1	0.507	6	91.3	17.4	21.7
0.62356	6.2	1	0.507	6	77.7	17.4	27.5
0.6147	6.2	0	0.507	6	80.8	17.4	30.1
0.31533	6.2	0	0.504	8	78.3	17.4	44.8
0.38214	6.2	0	0.504	8	86.5	17.4	37.6
